Appointment_Type_Id,Timetable,Notes,Zip,Moons_Center,Street,Center_Type,Apt,Active,Partner,List_Price,Number,ACL,City,Latitude,Zone,Map_URL,Appointment_Cost,Prev_Videocall,Phone,Order,Neighborhood,promo,Longitude,Currency,State,Place_Id,Region,Center_Name,Calendar_Id,Country,totalReviews,Map_Image,embed,Appointment_Type,extractReviews,reviews,Center_Desc,rating,Appointment_Calendar,Services,retailApp,mergeCalendars,Delete,whatsAppLink,whatsAppCall
,"{""saturday"":[""08:00-17:00""],""weekdays"":[""08:00-17:00""]}","Al frente de OXXO. Bajando por la calle 53, una cuadra antes del Centro Comercial Galerías.",11111,TRUE,Calle 53,Centro Moons,Consultorio 301,FALSE,,null,#21-84,null,Teusaquillo,4.641643447,Galerías,"https://www.google.com/maps/place/Moons/@4.6791432,-74.0543569,17z/data=!4m6!3m5!1s0x8e3f9b01ee0bf8e5:0xdf236187ddfef3c7!8m2!3d4.6417379!4d-74.0731651!16s%2Fg%2F11sszj94pm?entry=ttu",null,,"[""""]",16,Galerías,,-74.07114913,,Bogotá,ChIJIYaunJqmMI4R29QPlXikqhM,Bogotá,Galerías Experiencia Moons Advanced,8984205,Colombia,46,,,retail,TRUE,4.3,"Al frente de OXXO. Bajando por la calle 53, una cuadra antes del Centro Comercial Galerías.",4.5,,"{""retenedorfijo"":{""productId"":""retenedorfijo"",""AppointmentTypeId"":""53819887""},""fullprimera"":{""productId"":""fullprimera"",""AppointmentTypeId"":""53474599""},""fullseguimiento"":{""productId"":""fullseguimiento"",""AppointmentTypeId"":""53474627""},""videollamada"":{""productId"":""videollamada"",""AppointmentTypeId"":""53474704""},""fullfinal"":{""productId"":""fullfinal"",""AppointmentTypeId"":""55449668""}}",TRUE,,FALSE,,FALSE
53222513,"{""saturday"":[""10:00-18:00""],""weekdays"":[""10:00-18:00""]}",Entre Amores y Avenida Universidad. A media cuadra de Grupo Fórmula y gasolinera Hidrosina. El edificio cuenta con estacionamiento con costo de $30.,3240,TRUE,Av. Coyoacán,Centro Moons,Piso 12 Int 1202,TRUE,,990,1878,null,Benito Juárez,19.3615626,Coyoacán,"https://www.google.com/maps/place/Moons/@19.3617155,-99.1721397,17z/data=!3m1!4b1!4m6!3m5!1s0x85d1fffad955ec39:0x586f22544ea49227!8m2!3d19.3617155!4d-99.1721397!16s%2Fg%2F11qpcmm1gx?hl=es-419&entry=ttu",99,,"[""""]",2,Col. Acacias.  Benito Juárez. Piso 12 Int 1202,"¡Hasta $6,400 OFF! 🌙",-99.1721075,MXN,Ciudad de México,ChIJOexV2fr_0YURJ5KkTlQib1g,Ciudad de México,Coyoacán,8846085,México,187,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3764.133309120938!2d-99.1692278!3d19.363379600000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85d1fffad955ec39%3A0x586f22544ea49227!2sMoons!5e0!3m2!1ses-419!2smx!4v1693872733254!5m2!1ses-419!2smx"" width=""100%"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",retail,TRUE,null,Entre Amores y Avenida Universidad. A media cuadra de Grupo Fórmula y gasolinera Hidrosina. El edificio cuenta con estacionamiento con costo de $30.,4.8,,"{""rescan"":{""productId"":""rescan"",""AppointmentTypeId"":""53251554""}}",TRUE,"[{""calendarId"":""9350926"",""appointmentTypeId"":""53222513""}]",FALSE,,FALSE
53559053,"{""saturday"":[""08:00-17:00""],""weekdays"":[""08:00-17:00""]}",Edifico de Colores,76000,TRUE,Calle 5D,Centro Moons,Torre 2 Consultorio 1015,TRUE,,null,#38A-35,null,Cali,3.423981698,Cali,https://maps.app.goo.gl/WZm6NeaM6jrUAqeQ7,null,,"[""""]",1,Tequendama,¡Hasta $1.300.000 OFF 🌙!,-76.54258512,,Valle del Cauca,,Cali,Cali,9965281,Colombia,null,,,retail,,null,Edificio vida centro profesional (edificio de colores),0,,{},TRUE,,,,FALSE
55427554,"{""weekdays"":[""11:00-21:00""]}",En Liverpool dentro del centro comercial Paseo de Querétaro,76224,FALSE,Anillo Vial Fray Junípero Serra,Liverpool,,TRUE,,null,7901,null,Santiago de Querétaro,20.63307,Paseo de Querétaro Liverpool Bx,https://goo.gl/maps/FndEjhiMUij1nsUc8,null,,"[""""]",39,Balcones Coloniales,¡Hasta 13 Meses Sin Interés! 🎉,-100.35505,,Liverpool | Cita $199,,,Liverpool Querétaro,6186668,México,null,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14935.65152882605!2d-100.355047!3d20.6324075!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85d35bb09aabb14f%3A0x964e7419066ac184!2sLiverpool!5e0!3m2!1ses-419!2smx!4v1693873157971!5m2!1ses-419!2smx"" width=""100%"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",retail,FALSE,null,"Dentro de Liverpool, Centro comercial Paseo Querétaro. Entrada por Anillo Víal Fray Junípero Sierra",0,,"{""refinamiento"":{""productId"":""refinamiento"",""AppointmentTypeId"":""53222633""},""scan_retenedor"":{""productId"":""scan_retenedor"",""AppointmentTypeId"":""60910470""},""interpretacion_plan"":{""productId"":""interpretacion_plan"",""AppointmentTypeId"":""60925457""}}",TRUE,,FALSE,,FALSE
,"{""weekdays"":[""10:00-19:00""]}",,,FALSE,Calle Miguel Hidalgo,Doctores Moons,,TRUE,Dr. Iván Mejía Díaz,,226,null,Tuxtepec,18.08247426,Tuxtepec,https://maps.app.goo.gl/x6S3tG65UW65t37y6,,FALSE,"[""""]",5,"Tuxtepec, Oaxaca","¡Hasta $5,000 de descuento!",-96.11938104,,Centros Aliados,,"Tuxtepec, Oaxaca",Tuxtepec | Sonrisa Total,DrMoons11,México,null,,,retail,FALSE,null,,0,,{},FALSE,,,https://api.whatsapp.com/send?phone=5215593312948&text=%C2%A1Quiero%20agendar%20una%20cita%20en%20Tuxtepec!,TRUE
55427554,"{""weekdays"":[""11:00-20:00""]}",Liverpool dentro del Centro Comercial Santa Fe,5348,FALSE,Vasco de Quiroga,Liverpool,,TRUE,liverpool,null,3800,null,Cuajimalpa de Morelos,19.3612975,Liverpool Centro comercial Santa Fe,https://g.page/CentroSantaFe?share,null,,"[""""]",19,Lomas de Santa Fe,¡Hasta 13 Meses Sin Interés! 🎉,-99.27379492,,Liverpool | Cita $199,,,Liverpool Santa Fe EdoMex,6060165,México,null,,,retail,FALSE,null,"Dentro de centro comercial, a un costado de The Cheesecake Factory Santa Fe",0,,"{""scan_retenedor"":{""productId"":""scan_retenedor"",""AppointmentTypeId"":""60910470""},""interpretacion_plan"":{""productId"":""interpretacion_plan"",""AppointmentTypeId"":""60925457""}}",,,FALSE,,FALSE
55427554,"{""sunday"":[""11:00-11:00""],""saturday"":[""11:00-11:00""],""weekdays"":[""11:00-11:00""]}","Ubicados en Liverpool, dentro del centro comercial Parque Delta",3020,TRUE,Avenida Cuauhtémoc,Liverpool,BX,TRUE,liverpool,null,462,null,Benito Juárez,19.40367,Liverpool Parque Delta,https://g.page/liverpool-parque-delta?share,null,,"[""""]",25,Narvarte Poniente,¡Hasta 13 Meses Sin Interés! 🎉,-99.15484,,Liverpool | Cita $199,,CDMX,Liverpool Parque Delta CDMX,6090056,México,null,,,retail,FALSE,null,Esquina Viaducto Miguel Alemán con Avenida Cuauhtémoc,0,,"{""scan_retenedor"":{""productId"":""scan_retenedor"",""AppointmentTypeId"":""60910470""},""interpretacion_plan"":{""productId"":""interpretacion_plan"",""AppointmentTypeId"":""60925457""}}",,,FALSE,,FALSE
55960305,"{""sunday"":[""11:00-20:30""],""saturday"":[""11:00-20:30""],""weekdays"":[""11:00-20:30""]}","Ubicados en Liverpool, dentro del centro comercial Parque Delta",3020,TRUE,Avenida Cuauhtémoc,Liverpool,BX,TRUE,liverpool,null,462,null,Benito Juárez,19.40367,Liverpool Parque Delta,https://g.page/liverpool-parque-delta?share,null,,"[""""]",25,Narvarte Poniente,,-99.15484,,Ciudad de México,,CDMX,Liverpool Parque Delta CDMX,6090056,México,null,,,onsite-liverpool,FALSE,null,Esquina Viaducto Miguel Alemán con Avenida Cuauhtémoc,0,,"{""refinamiento"":{""productId"":""refinamiento"",""AppointmentTypeId"":""53222633""}}",TRUE,,FALSE,,
53637597,"{""saturday"":[""09:00-17:00""],""weekdays"":[""09:00-18:00""]}",,,TRUE,"Jr, Jirón Cruz del Sur ",Centro Moons,1103,TRUE,,,140,null,Lima,-12.08489132,Surco,https://maps.app.goo.gl/X3fxAf6AmGk1m9Vv7,,FALSE,"[""""]",1,Santiago de Surco,¡Hasta 35% OFF! 🌙,-76.97273486,,Lima,ChIJPYgsSITHBZERLXfEVVPSwOE,,Surco,9645635,Peru,11,,,retail,TRUE,null,,4.9,,{},TRUE,,,,FALSE
,"{""saturday"":[""10:00-14:00""],""weekdays"":[""11:00-20:00""]}",,,FALSE,Centenario,Doctores Moons,,TRUE,,,644,null,"León de los Aldama, Guanajuato",21.10428222,León de los Aldama,https://maps.app.goo.gl/2D6cf7gdsfGbmNk66,,FALSE,"[""""]",4,"San Miguel, León de los Aldama, Guanajuato","¡Hasta $5,000 de descuento!",-101.6826868,,Centros Aliados,,Guanajuato,Guanajuato | Odontología Integral,DrMoons7,México,null,,,retail,FALSE,null,,0,,{},FALSE,,,https://api.whatsapp.com/send?phone=5215593312948&text=%C2%A1Quiero%20agendar%20una%20cita%20en%20Guanajuato!,TRUE
53222513,"{""saturday"":[""10:00-15:00""],""weekdays"":[""10:00-18:00""]}","Dentro de Plaza 404 en la Clínica Daily Dent, atrás de la Torre Roja con el nombre de la plaza. La plaza cuenta con estacionamiento.",66273,TRUE,Av Gómez Morin,Centro Moons,Local E-10,TRUE,,990,404,null,San Pedro Garza García,25.6471664,Monterrey,https://goo.gl/maps/ANdHfCGtb433JYLs9,290,,"[""""]",2,Col. Villas de Aragón. San Pedro Garza (Dentro Clínica Dental Daily Dent),"¡Hasta $6,400 OFF! 🌙",-100.3590879,MXN,Nuevo León,ChIJr_diPlW9YoYRh_pj6cB--CU,Nuevo León,Monterrey,7101431,México,27,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14386.910203330768!2d-100.3590879!3d25.6471664!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8662bd553e62f7af%3A0x25f87ec0e963fa87!2sMoons!5e0!3m2!1ses-419!2smx!4v1693872894460!5m2!1ses-419!2smx"" width=""100%"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",retail,TRUE,null,"Dentro de Plaza 404 en la Clínica Daily Dent, atrás de la Torre Roja con el nombre de la plaza. La plaza cuenta con estacionamiento.",5,,"{""fullprimera"":{""productId"":""fullprimera"",""AppointmentTypeId"":""53222885""},""fullseguimiento"":{""productId"":""fullseguimiento"",""AppointmentTypeId"":""53222904""},""refinamiento"":{""productId"":""refinamiento"",""AppointmentTypeId"":""53222633""},""futura"":{""productId"":""futura"",""AppointmentTypeId"":""53251573""},""fullrecolocacion"":{""productId"":""fullrecolocacion"",""AppointmentTypeId"":""61326435""},""limpiezaplan"":{""productId"":""limpiezaplan"",""AppointmentTypeId"":""53352668""},""limpiezayblanqplan"":{""productId"":""limpiezayblanqplan"",""AppointmentTypeId"":""53352699""},""rescan"":{""productId"":""rescan"",""AppointmentTypeId"":""53251554""},""nmt60"":{""productId"":""nmt60"",""AppointmentTypeId"":""56487210""},""fullfinal"":{""productId"":""fullfinal"",""AppointmentTypeId"":""55967546""}}",TRUE,,FALSE,,FALSE
55960305,"{""sunday"":[""11:00-20:00""],""saturday"":[""11:00-20:00""],""weekdays"":[""11:00-20:00""]}",Liverpool dentro del Centro comercial santa fe,5348,TRUE,Vasco de Quiroga,Liverpool,,TRUE,liverpool,null,3800,null,Cuajimalpa de Morelos,19.3612975,Liverpool Centro comercial Santa Fe,https://g.page/CentroSantaFe?share,null,,"[""""]",19,Lomas de Santa Fe,,-99.27379492,,Ciudad de México,,,Liverpool Santa Fe EdoMex,6060165,México,null,,,onsite-liverpool,FALSE,null,"Dentro de centro comercial, a un costado de The Cheesecake Factory Santa Fe",0,,"{""refinamiento"":{""productId"":""refinamiento"",""AppointmentTypeId"":""53222633""}}",TRUE,,FALSE,,
,"{""sunday"":[""10:00-19:00""],""saturday"":[""10:00-19:00""],""weekdays"":[""10:00-19:00""]}",,,FALSE,Av. Madero Poniente,Doctores Moons,,TRUE,,,#213,null,Tacámbaro,19.23606673,Centro,https://maps.app.goo.gl/TXVCa6pWpkhhd4RPA,,FALSE,"[""""]",5,"Centro, Tacámbaro, Michoacán","¡Hasta $5,000 de descuento!",-101.4605265,,Centros Aliados,,"Tacámbaro, Michoacán",Tacámbaro | Odontología Integral,DrMoons3,México,null,,,retail,FALSE,null,,0,,{},FALSE,,,https://api.whatsapp.com/send?phone=5215593312948&text=%C2%A1Quiero%20agendar%20una%20cita%20en%20Tacambaro!,TRUE
,"{""weekdays"":[""09:30-19:00""]}",,,FALSE,Convento de Balbanera,Doctores Moons,,TRUE,,,36,null,"Tlalnepantla, Estado de México",19.53086687,Jardines de Santa Mónica,https://maps.app.goo.gl/EJ2AK4GbnKBCDujE9,,FALSE,"[""""]",4,"Jardines de Santa Mónica, Tlalnepantla, Estado de México","¡Hasta $5,000 de descuento!",-99.22520339,,Centros Aliados,,"Tlalnepantla, Estado de México",Tlalnepantla CDMX | Más Ortodoncia,DrMoons9,México,null,,,retail,FALSE,null,,0,,{},FALSE,,,https://api.whatsapp.com/send?phone=5215593312948&text=%C2%A1Quiero%20agendar%20una%20cita%20en%20Tlalnepantla!,TRUE
